,answer
0,18
1,3
2,70000
3,540
4,20
5,64
6,260
7,160
8,45
9,460
10,366
11,694
12,13
13,18
14,60
15,125
16,230
17,57500
18,7
19,6
20,15
21,14
22,7
23,8
24,26
25,2
26,243
27,16
28,25
29,104
30,109
31,80
32,35
33,70
34,23
35,9
36,75
37,2
38,10
39,18
40,8
41,200
42,26
43,48
44,20
45,104
46,163
47,800
48,8
49,30
50,294
51,5
52,15
53,40
54,40
55,14
56,3
57,83
58,57
59,187
60,17
61,1430
62,25000
63,1596
64,300
65,36
66,48
67,595
68,36
69,60
70,7425
71,60
72,221
73,255
74,88
75,60
76,5
77,100
78,6
79,70
80,10
81,17
82,623
83,600
84,15
85,44
86,22
87,9360
88,8000
89,24
90,225
91,28
92,4
93,36
94,348
95,40
96,3
97,12
98,5
99,58
100,175
101,6
102,26
103,140
104,500
105,20
106,72
107,3
108,50
109,28
110,45
111,16
112,24
113,25
114,6
115,90
116,42
117,360
118,4
119,95200
120,240
121,27
122,48
123,50
124,10
125,10
126,82
127,120
128,880
129,10000
130,30
131,940
132,60
133,13
134,720
135,40
136,6
137,29
138,105
139,70
140,20
141,400
142,140
143,16
144,20
145,4000
146,2
147,75
148,30
149,16
150,4
151,5
152,4
153,48
154,272
155,280
156,1400
157,80
158,34
159,15
160,16
161,32
162,92
163,50
164,15
165,77
166,5
167,16
168,18
169,120
170,150
171,1210
172,51
173,18000
174,95
175,15
176,100
177,350
178,122
179,130
180,20
181,160
182,23
183,2
184,25
185,30
186,5
187,106
188,50
189,34
190,360
191,5
192,91
193,24
194,10
195,12
196,120
197,6277
198,320
199,7500
200,55
201,114
202,100
203,31
204,98
205,98
206,860
207,2600
208,76
209,145
210,10
211,4
212,5
213,250
214,8
215,44
216,220
217,15
218,45
219,54
220,70
221,90
222,140
223,20000
224,180
225,9
226,33
227,9
228,1
229,21
230,276
231,50
232,75
233,12
234,21
235,10
236,31
237,90
238,68
239,280
240,21
241,6
242,3
243,250
244,20
245,7
246,27000
247,32
248,300
249,5
250,17
251,70
252,73
253,18
254,84
255,192
256,45
257,5600
258,6
259,168
260,11
261,62
262,270
263,8
264,400
265,9500
266,118000
267,91
268,1375
269,4
270,762
271,20
272,5
273,315
274,3200
275,138
276,9
277,4
278,40
279,6
280,7
281,2450
282,195
283,68
284,360
285,21
286,90
287,8
288,3
289,16
290,390
291,2
292,75
293,83
294,3
295,370
296,3
297,55
298,500
299,31800
300,78
301,8
302,15
303,1300
304,3200
305,4
306,10
307,16
308,6
309,8
310,2050
311,91
312,32
313,120000
314,30
315,14
316,156
317,12
318,123
319,15
320,8
321,1
322,9
323,75
324,14
325,224000
326,14
327,31
328,2
329,14
330,31
331,8400
332,44
333,100
334,6
335,310
336,72
337,1
338,60
339,160
340,4
341,260
342,87
343,180000
344,2
345,310
346,9
347,36
348,10
349,2640
350,8
351,10
352,21
353,20
354,45
355,34
356,21
357,2
358,20
359,4
360,25
361,20
362,23
363,6
364,49
365,18
366,9
367,19
368,18
369,1198
370,320
371,50
372,5
373,240000
374,45
375,48
376,15
377,50
378,15
379,21
380,803
381,67
382,350
383,2
384,32
385,16
386,80
387,36
388,88
389,6
390,12
391,15
392,34
393,20
394,92
395,38
396,3
397,25
398,168
399,12
400,48
401,14400
402,4
403,81
404,22
405,50
406,200
407,2000
408,20
409,168000
410,3
411,1110
412,5
413,25
414,56
415,350
416,56
417,3140
418,40
419,3000
420,17000
421,12
422,284
423,8
424,570
425,150
426,11
427,150
428,26
429,13
430,132
431,1
432,30
433,6
434,5
435,5
436,15
437,7
438,2
439,17
440,98
441,80
442,49
443,59
444,20
445,6
446,2
447,5
448,539
449,112
450,4
451,11050
452,50
453,6400
454,150
455,1920
456,78
457,45
458,35
459,2
460,84
461,9
462,71
463,18
464,6
465,30
466,1
467,1200
468,120
469,4
470,3
471,80
472,6
473,10
474,80
475,20
476,5
477,20
478,621
479,15400
480,11
481,84
482,26
483,40
484,240
485,220
486,6
487,4
488,6
489,
490,4
491,16
492,32
493,25
494,21
495,200
496,38
497,112
498,40
499,10
500,16
501,273
502,26
503,18
504,2
505,1
506,144
507,2
508,120
509,4
510,525
511,110
512,120
513,300
514,90000
515,160
516,375
517,18
518,32
519,280
520,63
521,39
522,29
523,74
524,9
525,12
526,21
527,48
528,172
529,11
530,36
531,66
532,25
533,300
534,300
535,16
536,8
